Vmag,Plx,B-V,SpType,Luminousity Classes,label
10.28,-0.26,1.2,K1III,III,2
8.8,3.07,0.122,A1V,V,4
8.75,12.45,0.434,F2V,V,4
3.63,25.42,0.16,A7III,III,2
7.81,2.56,1.253,K1III,III,2
8.15,9.18,0.569,G2V,V,4
5.28,4.17,-0.118,B6III,III,2
9.61,5.67,0.681,G6III,III,2
4.04,10.42,1.501,M0III,III,2
7.85,5.72,1.006,K2III,III,2
8.69,1.86,0.9,G8III,III,2
8.03,2.28,1.234,K2III,III,2
9.73,0.27,-0.023,B3III,III,2
8.93,5.07,1.142,K0III,III,2
8.7,-0.78,0.98,G9III,III,2
8.37,2.0,0.999,K0III,III,2
3.69,16.64,1.181,K0III,III,2
9.49,4.05,1.05,K0III,III,2
8.51,21.11,0.592,G3V,V,4
9.09,3.33,0.534,F8V,V,4
8.11,3.3,0.087,B8V,V,4
8.64,5.51,0.847,G7III,III,2
7.68,5.07,0.941,G6III,III,2
7.54,5.44,1.438,M4III,III,2
7.56,10.55,0.515,G0V,V,4
7.71,5.53,-0.017,A0V,V,4
8.83,2.62,0.133,A2IV,V,4
8.57,1.67,-0.013,B9V,V,4
8.2,2.11,1.11,K0III,III,2
7.68,18.82,0.548,F7V,V,4
7.35,3.64,1.664,M0III,III,2
9.05,0.43,0.053,B8V,V,4
4.11,7.51,0.895,G0II,II,1
9.23,15.99,0.695,G6V,V,4
9.1,7.57,0.454,F3V,V,4
6.89,5.5,0.068,B8V,V,4
9.01,4.61,0.626,F5IV,V,4
7.69,5.28,1.476,K3III,III,2
8.71,3.66,1.114,K0III,III,2
8.15,18.49,0.551,F8V,V,4
10.77,5.01,0.805,G6III,III,2
8.16,11.84,0.556,F8V,V,4
8.64,2.41,1.05,K0III,III,2
8.28,-0.8,1.443,K3III,III,2
8.02,-0.07,-0.04,B7V,V,4
8.37,2.09,1.099,G8III,III,2
5.27,15.8,1.276,K3III,III,2
9.06,-0.54,1.06,K0III,III,2
