Vmag,Plx,B-V,SpType,Luminousity Classes,label
9.27,21.9,0.999,K3V,V,4
8.06,7.75,0.37,F0V,V,4
8.55,2.87,0.902,G8III,III,2
8.59,10.76,0.489,F6V,V,4
8.43,4.06,1.484,K4III,III,2
8.8,3.49,1.128,K0III,III,2
8.15,6.15,0.425,F3V,V,4
7.57,12.21,0.456,F2V,V,4
9.05,9.73,0.528,G0V,V,4
6.28,13.74,0.763,G3IV,V,4
9.13,9.19,0.535,F7V,V,4
9.32,9.66,0.671,G5V,V,4
9.14,2.85,1.041,G8III,III,2
10.44,3.74,0.391,F0V,V,4
8.65,23.84,0.778,G6V,V,4
7.46,10.98,0.475,F3V,V,4
10.78,24.45,1.15,K3V,V,4
6.49,16.89,0.616,G1IV,V,4
8.56,3.95,0.196,A4V,V,4
8.27,33.89,0.863,K2V,V,4
8.34,6.18,0.386,F2IV,V,4
8.27,5.28,0.994,G8III,III,2
8.08,3.45,1.156,K2III,III,2
8.55,8.18,0.401,F2V,V,4
7.42,1.6,1.524,K4III,III,2
8.41,3.53,0.022,A0V,V,4
8.4,15.59,0.566,G2V,V,4
5.71,5.97,0.911,G8III,III,2
8.68,4.77,0.944,G8III,III,2
8.12,16.74,0.619,F8V,V,4
8.67,7.85,0.513,F5V,V,4
9.48,5.52,0.53,F5V,V,4
7.05,3.0,1.55,M1III,III,2
8.29,9.15,0.538,F6V,V,4
9.34,8.16,0.543,F7V,V,4
5.53,5.84,1.615,M2III,III,2
7.95,9.93,0.654,G0IV,V,4
7.46,4.73,0.16,A2IV,V,4
8.6,8.29,0.435,F3V,V,4
8.55,0.36,1.093,G8III,III,2
6.83,3.66,1.197,K2III,III,2
4.78,14.77,1.254,K2III,III,2
8.7,5.08,0.366,F2V,V,4
9.14,2.93,1.08,K0III,III,2
8.13,8.11,0.2,A4V,V,4
6.62,3.51,0.545,F5IV,V,4
9.04,8.98,0.546,F7V,V,4
8.96,4.39,0.306,A9V,V,4
7.04,7.5,1.06,K1III,III,2
4.37,7.86,1.631,M3III,III,2
8.6,3.09,0.1,B8V,V,4
7.09,7.03,0.999,K0III,III,2
8.68,2.07,-0.052,B9V,V,4
8.98,2.92,0.107,A3V,V,4
7.98,4.41,0.97,G9III,III,2
8.86,9.46,0.66,G3V,V,4
9.24,63.03,1.39,M0V,V,4
9.63,5.96,0.509,F5V,V,4
5.8,80.63,0.69,G3V,V,4
7.97,9.02,0.556,F7V,V,4
6.9,14.91,0.534,G0V,V,4
5.04,6.4,-0.15,B4V,V,4
6.33,7.55,0.182,A6V,V,4
5.7,26.53,0.315,F0V,V,4
8.53,2.53,1.274,K3III,III,2
7.2,-0.69,0.085,A2V,V,4
8.42,4.14,1.005,G8III,III,2
8.85,2.62,1.113,K1III,III,2
8.43,5.18,0.007,A0V,V,4
9.0,6.32,0.903,G8IV,V,4
7.76,7.41,0.967,G8IV,V,4
7.82,4.11,1.041,K0III,III,2
8.65,-0.53,1.349,K2III,III,2
6.46,6.78,1.176,K1III,III,2
8.87,3.15,0.081,A0V,V,4
9.64,6.1,0.432,F2V,V,4
9.15,8.21,0.424,F3V,V,4
9.04,4.31,0.422,F0V,V,4
9.16,4.81,0.232,A2III,III,2
9.44,5.68,0.439,F3V,V,4
6.96,15.84,0.353,F2V,V,4
9.01,2.11,0.956,G8III,III,2
8.68,3.48,1.011,K0III,III,2
8.29,13.14,0.488,F6V,V,4
9.67,2.83,0.397,F0V,V,4
8.24,25.29,0.78,G8V,V,4
8.44,9.67,0.508,F5V,V,4
7.66,20.44,0.741,G5IV,V,4
8.59,14.36,0.616,G2V,V,4
8.54,4.59,0.23,A7V,V,4
9.58,12.24,0.7,G5V,V,4
9.62,6.67,0.657,F8V,V,4
7.65,3.93,0.992,G8IV,V,4
7.09,4.24,-0.085,B8V,V,4
8.41,6.58,0.563,F6V,V,4
8.55,4.12,0.037,A1V,V,4
8.11,14.91,0.484,F6V,V,4
9.44,0.58,1.069,G8IV,V,4
9.6,7.92,0.549,G0V,V,4
5.78,11.29,1.084,K0III,III,2
6.38,7.75,0.006,A1V,V,4
8.8,5.27,1.031,K1III,III,2
7.79,2.46,-0.089,B3V,V,4
9.8,22.52,0.855,K0V,V,4
7.33,10.92,0.444,F2V,V,4
8.73,3.4,1.036,K0III,III,2
9.18,-0.43,1.169,K2III,III,2
8.94,1.59,1.181,K1IV,V,4
6.11,1.94,0.159,B9III,III,2
7.13,2.46,1.26,K1III,III,2
5.59,5.7,-0.1,B8III,III,2
7.37,11.46,0.422,F5IV,V,4
5.68,10.3,1.051,K1III,III,2
9.06,4.16,0.368,F0V,V,4
8.28,5.65,0.002,A0IV,V,4
6.09,27.18,0.632,G2V,V,4
7.83,2.91,1.256,K2III,III,2
6.61,2.13,0.025,B3V,V,4
7.82,39.06,0.755,G9V,V,4
8.97,11.56,0.674,G3V,V,4
7.47,14.53,0.55,F8V,V,4
8.13,22.09,0.71,G5V,V,4
8.23,4.41,0.986,G9III,III,2
8.41,8.49,0.461,F5V,V,4
6.47,7.63,0.946,G8II,II,1
7.73,19.78,0.537,G0V,V,4
8.64,1.96,0.889,G6III,III,2
7.53,23.9,0.577,G0V,V,4
8.14,14.25,0.593,G0V,V,4
7.1,6.27,1.128,K1III,III,2
8.49,62.48,1.076,K5V,V,4
8.38,4.33,-0.06,B9V,V,4
4.61,25.38,1.029,K1III,III,2
8.56,229.33,1.462,M2V,V,4
7.71,5.05,1.093,K0III,III,2
9.16,9.89,0.782,G8IV,V,4
7.39,4.76,0.99,K0III,III,2
7.78,4.79,1.123,K0III,III,2
7.47,2.01,1.62,M3III,III,2
8.82,18.57,0.666,G5V,V,4
9.73,6.89,0.725,G5V,V,4
7.36,4.25,0.993,K0III,III,2
6.99,4.25,1.187,K0III,III,2
5.55,8.75,0.901,G5III,III,2
8.6,1.87,1.1,K1III,III,2
9.66,-0.26,0.787,G5V,V,4
9.37,6.18,0.507,F6V,V,4
7.51,24.85,0.595,G0V,V,4
8.99,12.99,0.585,F8V,V,4
8.55,4.19,1.357,K3III,III,2
6.62,2.9,1.531,K5III,III,2
8.51,1.8,1.576,K3III,III,2
9.67,13.05,0.633,G3V,V,4
7.9,4.39,-0.03,B9V,V,4
9.82,5.66,0.418,F2V,V,4
8.57,-0.16,1.612,M1III,III,2
5.98,49.3,0.687,G5V,V,4
7.92,5.38,0.459,F3IV,V,4
7.31,6.73,0.402,F2IV,V,4
8.35,8.11,0.624,G1V,V,4
5.57,3.32,-0.023,B9III,III,2
9.85,4.6,0.526,F6V,V,4
9.16,-1.67,1.045,G8III,III,2
9.35,3.91,0.41,F2V,V,4
6.68,5.13,0.986,G9III,III,2
9.69,10.02,0.578,F6V,V,4
6.07,72.98,0.752,K0V,V,4
7.71,5.02,1.038,G8III,III,2
8.56,5.61,0.548,F7V,V,4
6.19,25.59,0.386,F2IV,V,4
10.18,0.77,0.58,F5V,V,4
6.91,3.69,1.123,K0III,III,2
7.62,3.73,0.955,G8III,III,2
9.52,4.4,0.19,A0V,V,4
8.68,7.89,0.529,F5V,V,4
8.65,4.33,0.061,A1V,V,4
8.41,5.14,0.405,F3V,V,4
9.31,6.51,0.226,A9V,V,4
10.28,6.34,0.503,F3V,V,4
8.52,2.2,1.084,K1III,III,2
7.48,2.87,1.532,K5III,III,2
7.06,20.63,0.463,F5V,V,4
7.33,9.37,1.011,K1IV,V,4
8.53,7.21,0.909,K0V,V,4
8.4,2.19,1.014,G8III,III,2
8.7,30.76,0.798,K0V,V,4
8.37,8.86,0.595,F7V,V,4
7.5,2.5,1.703,M1III,III,2
7.39,2.53,-0.018,B9IV,V,4
8.66,2.38,0.79,G3III,III,2
8.79,4.21,1.127,K2III,III,2
5.93,12.45,0.141,A1V,V,4
7.58,3.64,1.271,K1IV,V,4
7.85,10.66,0.505,F5V,V,4
7.18,8.95,0.156,A3V,V,4
8.84,4.37,1.042,K0III,III,2
5.67,10.02,1.119,K1III,III,2
8.74,1.92,1.227,K2III,III,2
6.18,3.25,1.366,K2III,III,2
10.16,5.68,0.393,F5V,V,4
8.22,3.5,1.064,K1III,III,2
9.86,7.73,0.789,K0V,V,4
9.1,3.83,1.169,K1IV,V,4
8.89,2.8,1.179,K1III,III,2
7.59,25.15,0.626,G2V,V,4
9.86,2.3,0.157,A3III,III,2
6.41,2.17,0.998,G3II,II,1
7.38,2.89,1.326,K3III,III,2
6.21,30.26,0.504,F8IV,V,4
7.88,5.03,0.473,F3V,V,4
9.1,3.19,1.113,K0III,III,2
8.65,6.86,0.471,F3V,V,4
8.41,16.24,0.588,G2V,V,4
7.81,8.58,0.481,F5IV,V,4
9.55,4.78,0.473,F5V,V,4
6.24,7.78,0.976,K0III,III,2
9.27,0.25,1.146,K1III,III,2
7.13,3.16,1.64,M2III,III,2
9.14,2.6,1.053,K1III,III,2
7.21,7.86,1.087,K0III,III,2
7.72,18.22,0.62,G0V,V,4
5.57,11.17,1.043,G9III,III,2
9.2,8.35,0.811,G8V,V,4
9.32,4.32,0.549,F6V,V,4
8.21,2.98,1.339,K3III,III,2
7.05,3.15,-0.122,B5V,V,4
9.26,6.75,0.671,G3V,V,4
9.3,4.36,0.972,K2III,III,2
8.89,1.97,1.033,G8III,III,2
9.6,7.75,0.446,F6V,V,4
7.07,19.28,0.644,G2III,III,2
6.01,8.56,0.203,A7IV,V,4
5.42,14.57,0.414,F3V,V,4
3.88,23.28,1.013,K0III,III,2
7.94,13.8,0.66,G3V,V,4
8.52,16.26,0.687,G3V,V,4
7.59,5.36,1.005,G8IV,V,4
9.17,1.78,1.029,K1III,III,2
8.08,4.57,1.068,K1III,III,2
8.92,8.17,0.499,F5V,V,4
9.91,4.45,0.355,F0V,V,4
8.37,3.25,0.952,G8III,III,2
7.4,4.31,1.571,M2III,III,2
8.57,13.92,0.644,G3V,V,4
8.84,17.08,0.833,K1V,V,4
6.34,7.37,0.164,A6V,V,4
7.19,4.44,0.974,K1II,II,1
7.93,4.37,0.964,K0III,III,2
7.66,6.14,0.139,A2V,V,4
5.54,10.04,-0.064,B9V,V,4
8.13,9.63,0.456,F3V,V,4
7.88,11.15,0.476,F5V,V,4
9.37,4.95,0.409,F0V,V,4
6.97,3.21,1.377,K3III,III,2
8.56,8.5,0.524,F5V,V,4
9.34,-2.57,0.815,G8V,V,4
9.47,6.1,0.526,F7V,V,4
8.91,3.93,0.356,F0III,III,2
5.84,18.18,0.973,K1III,III,2
5.01,3.24,0.405,F2II,II,1
9.81,3.85,0.437,F3V,V,4
9.32,4.82,0.511,F5V,V,4
8.92,13.53,0.578,G2V,V,4
8.38,10.15,0.508,F7V,V,4
8.35,6.17,0.528,F7V,V,4
9.87,4.11,0.503,F2V,V,4
8.24,12.91,0.491,F6V,V,4
6.74,6.52,-0.074,B7IV,V,4
6.83,4.74,1.429,K4III,III,2
6.7,1.66,-0.017,B1V,V,4
8.67,3.45,1.037,K0III,III,2
8.73,5.51,0.563,F7IV,V,4
8.55,4.38,0.692,G3V,V,4
5.84,15.35,1.0,K0III,III,2
8.68,7.95,0.588,G2V,V,4
8.27,1.62,0.146,B7V,V,4
7.68,3.48,1.028,K0III,III,2
9.4,9.43,0.551,F5IV,V,4
6.89,4.7,0.951,K0III,III,2
7.78,4.53,1.302,M3III,III,2
8.55,12.6,0.435,F5V,V,4
6.68,4.43,1.212,K1III,III,2
4.89,52.94,0.487,F5V,V,4
8.88,4.78,1.14,K2III,III,2
8.6,15.08,0.7,G6V,V,4
8.44,1.58,0.127,A3V,V,4
7.95,29.35,0.755,K0V,V,4
8.48,11.58,0.473,F3V,V,4
8.34,4.31,0.409,F3V,V,4
7.75,4.71,1.152,K2III,III,2
8.34,17.0,0.619,G4V,V,4
5.41,5.61,1.346,K2III,III,2
6.93,7.77,0.994,K0III,III,2
9.04,27.46,0.891,K1V,V,4
7.85,7.57,0.561,F7V,V,4
7.21,4.78,0.916,G8III,III,2
8.98,3.36,0.966,K0IV,V,4
8.85,8.01,0.518,F6V,V,4
9.92,29.15,1.071,K5V,V,4
8.45,10.91,0.481,F5V,V,4
9.02,16.48,0.599,G3V,V,4
9.72,9.92,0.557,G1V,V,4
9.34,10.46,0.695,G5V,V,4
9.32,3.89,0.625,G3V,V,4
7.91,10.93,0.392,F2V,V,4
7.49,2.05,1.6,K4III,III,2
6.53,7.97,1.041,K0III,III,2
6.18,5.93,1.467,K4III,III,2
6.58,6.88,0.99,K0III,III,2
7.8,0.15,1.634,M1III,III,2
6.56,6.05,1.074,K0III,III,2
8.68,0.0,1.29,K2III,III,2
5.29,5.33,1.478,K4III,III,2
8.25,9.81,0.448,F5V,V,4
8.94,4.7,1.151,K2III,III,2
9.0,5.47,0.415,F3V,V,4
9.91,2.9,0.521,F6V,V,4
9.12,4.61,0.471,F3V,V,4
9.23,5.62,0.995,K0III,III,2
8.14,5.39,0.364,F0V,V,4
8.15,5.91,0.029,A1V,V,4
7.95,15.34,0.945,K1IV,V,4
9.56,7.06,0.659,F8V,V,4
8.51,4.18,0.873,G6III,III,2
7.53,4.24,0.98,K0III,III,2
7.22,49.18,0.775,K0V,V,4
8.49,1.97,1.63,K5III,III,2
7.8,2.95,1.099,F2V,V,4
9.94,5.79,0.626,G0V,V,4
9.03,3.85,1.263,K2III,III,2
6.52,7.17,1.05,K1III,III,2
8.17,-0.86,0.899,G8III,III,2
7.57,14.72,0.453,F5IV,V,4
2.83,9.79,-0.19,B2IV,V,4
7.98,11.12,0.396,F2V,V,4
6.24,8.08,0.68,G0III,III,2
8.72,3.88,1.037,K2III,III,2
8.44,2.49,1.079,K0III,III,2
8.84,4.32,1.202,K2III,III,2
9.05,30.0,0.913,K1V,V,4
5.71,28.57,0.331,F0IV,V,4
8.58,4.09,0.178,A5IV,V,4
9.22,2.87,0.993,K0III,III,2
5.94,3.22,1.548,K5III,III,2
8.99,4.25,1.134,K0III,III,2
6.14,4.23,1.49,K4III,III,2
6.97,9.78,0.18,A5IV,V,4
8.54,2.5,1.31,K2III,III,2
9.09,6.24,0.631,G5V,V,4
8.76,22.86,0.743,G6V,V,4
7.15,14.45,0.513,F6V,V,4
7.39,3.24,-0.165,B4V,V,4
8.93,10.74,0.628,G1V,V,4
6.91,3.11,1.12,G8II,II,1
7.41,4.28,0.947,G6III,III,2
6.22,11.13,0.009,A1V,V,4
8.4,5.52,0.398,F4V,V,4
6.97,2.4,1.341,K2III,III,2
7.0,9.36,0.534,F7IV,V,4
8.08,13.44,0.461,F5V,V,4
8.2,4.1,0.214,A7IV,V,4
7.42,20.23,0.64,G5V,V,4
6.63,2.53,1.697,M1III,III,2
6.89,18.19,0.502,F7V,V,4
8.51,22.51,0.73,G8III,III,2
8.17,7.15,0.563,F8V,V,4
8.08,3.32,1.251,K2III,III,2
6.95,12.17,0.494,F5V,V,4
9.49,8.31,0.476,F6V,V,4
4.79,10.01,1.572,M2III,III,2
8.69,-0.43,1.401,K3III,III,2
4.44,6.62,1.64,M1III,III,2
8.9,2.74,1.064,K0III,III,2
9.18,13.85,0.657,G3V,V,4
7.92,3.02,1.2,K0IV,V,4
7.13,3.93,1.17,K2III,III,2
8.49,8.41,0.528,F6V,V,4
6.82,11.33,0.257,A7III,III,2
8.01,6.81,0.445,F3V,V,4
5.77,9.4,-0.084,B9V,V,4
6.17,4.41,1.344,K3III,III,2
6.02,12.47,0.312,F0IV,V,4
8.99,8.05,0.428,F3V,V,4
9.09,9.36,0.53,G0V,V,4
8.57,22.9,0.695,G6V,V,4
8.44,2.02,1.33,K2II,II,1
9.14,1.88,1.245,K0III,III,2
8.71,3.54,1.639,M1III,III,2
8.39,4.95,0.912,K0III,III,2
8.7,5.26,0.408,F2V,V,4
7.67,7.89,0.417,F3IV,V,4
9.7,1.95,0.56,F6V,V,4
9.12,3.79,0.58,F2III,III,2
8.53,5.97,0.245,A8V,V,4
9.16,2.99,1.06,G1V,V,4
8.54,11.65,0.551,F7V,V,4
9.76,19.25,0.74,G8V,V,4
8.43,2.19,0.1,A5IV,V,4
9.22,5.18,0.537,F7V,V,4
8.24,3.36,1.289,K2III,III,2
9.11,0.02,1.267,K2III,III,2
5.66,7.64,1.35,K2III,III,2
9.35,13.79,0.655,G5V,V,4
8.54,1.94,1.618,M0III,III,2
6.59,56.76,0.749,G6V,V,4
9.74,8.67,0.569,G0V,V,4
6.12,10.75,0.068,A2V,V,4
8.78,12.54,0.623,G3V,V,4
7.9,13.71,0.673,G3V,V,4
7.88,2.94,1.287,K2III,III,2
7.18,5.08,0.251,F0V,V,4
9.2,5.56,0.466,F3V,V,4
9.18,5.71,0.588,F8V,V,4
7.74,5.56,1.167,K2III,III,2
7.81,4.61,0.933,G8III,III,2
7.34,1.69,1.201,K0III,III,2
9.75,4.55,0.45,F3V,V,4
8.56,5.38,0.486,F3V,V,4
7.15,7.65,0.222,A8V,V,4
6.98,3.31,1.6,M5III,III,2
8.9,3.99,1.403,K3III,III,2
6.67,5.89,1.077,K0III,III,2
9.67,1.73,0.532,F5V,V,4
8.03,7.47,0.435,F5V,V,4
6.78,9.06,0.451,F3III,III,2
8.88,7.36,0.453,F3V,V,4
8.53,5.03,0.261,A9V,V,4
6.84,43.45,0.655,G2V,V,4
5.74,5.08,0.898,G8III,III,2
7.65,5.29,1.122,K1III,III,2
4.61,12.88,0.059,A2V,V,4
8.44,6.52,0.44,F3V,V,4
5.86,3.42,-0.079,B7III,III,2
8.5,7.35,0.469,F5V,V,4
8.64,2.54,0.467,F2V,V,4
8.56,4.15,0.095,A0V,V,4
9.36,8.38,0.547,F7V,V,4
8.3,11.28,0.524,F6V,V,4
9.26,2.79,1.07,K0III,III,2
6.46,20.47,0.386,F3V,V,4
8.25,10.52,0.589,G0IV,V,4
7.67,8.06,0.271,A8IV,V,4
10.4,4.9,0.708,K3IV,V,4
6.19,9.89,0.937,K0II,II,1
7.92,6.42,0.621,F8V,V,4
7.21,21.66,0.477,F6V,V,4
8.88,16.24,0.542,F9V,V,4
6.54,7.14,0.97,G8II,II,1
8.17,4.72,0.995,K0III,III,2
6.51,38.24,0.599,G2V,V,4
8.15,1.54,1.397,K3III,III,2
8.53,4.07,0.898,K0III,III,2
9.35,2.9,0.921,G8IV,V,4
9.31,10.55,0.632,G5V,V,4
8.43,3.65,0.616,F7IV,V,4
6.07,7.28,1.036,K0III,III,2
8.68,6.06,0.49,F5V,V,4
6.67,4.58,1.304,K2III,III,2
9.63,4.46,0.489,F5V,V,4
4.51,23.11,0.054,A2V,V,4
8.09,280.27,1.56,M1V,V,4
7.27,3.9,1.129,K2III,III,2
7.08,6.22,1.186,K3III,III,2
7.47,15.08,0.468,F6V,V,4
8.47,2.61,1.364,K3III,III,2
9.33,4.57,0.51,F5V,V,4
5.88,6.0,-0.014,A0IV,V,4
7.14,8.99,0.885,G8IV,V,4
6.47,42.67,0.674,G0V,V,4
8.36,16.71,0.591,G0V,V,4
6.1,4.71,-0.074,B8V,V,4
6.33,8.56,1.21,K2III,III,2
8.72,6.37,0.923,K0III,III,2
8.8,4.94,0.331,A8III,III,2
9.51,11.25,0.663,G5V,V,4
8.76,8.52,0.442,F3V,V,4
9.46,9.37,0.698,G5V,V,4
9.16,7.72,0.448,F3V,V,4
7.8,4.02,0.363,F0III,III,2
9.9,48.17,1.318,K7V,V,4
9.58,12.22,0.625,G3V,V,4
9.07,2.45,0.891,G8III,III,2
8.78,4.9,0.474,F5V,V,4
7.26,3.93,0.049,B9V,V,4
7.45,2.99,1.535,M3III,III,2
8.12,18.95,0.661,G3V,V,4
7.58,4.34,0.913,G8III,III,2
9.08,4.73,0.798,G5IV,V,4
3.56,11.26,1.214,K2III,III,2
7.95,11.36,0.818,G8IV,V,4
8.49,13.16,0.575,F8V,V,4
7.75,0.06,1.537,K4III,III,2
8.75,14.55,0.594,G1V,V,4
8.99,0.46,1.082,K1III,III,2
6.35,6.03,1.179,K1III,III,2
9.68,5.7,0.497,F6V,V,4
8.29,7.44,1.096,G8IV,V,4
8.28,2.6,1.032,G9III,III,2
9.68,8.45,0.585,G2V,V,4
8.66,4.4,0.348,F2III,III,2
7.45,6.19,1.125,K1III,III,2
4.23,116.38,0.576,F9V,V,4
7.68,2.54,1.024,K0III,III,2
6.85,8.21,1.028,G8III,III,2
9.83,14.46,0.837,K1V,V,4
7.56,5.48,1.14,K1III,III,2
7.87,19.35,0.552,F6V,V,4
8.5,19.39,0.714,G6V,V,4
5.89,5.6,-0.098,B7V,V,4
8.78,0.42,1.315,K1III,III,2
8.43,4.55,1.016,K0III,III,2
9.14,10.8,0.612,G1V,V,4
8.81,0.16,0.26,B2III,III,2
7.52,11.82,0.961,K1IV,V,4
5.38,8.26,1.343,K3III,III,2
5.5,10.65,-0.046,B9V,V,4
8.73,11.33,0.627,G2V,V,4
8.3,3.27,1.152,K0IV,V,4
7.39,3.7,1.417,K5III,III,2
5.79,5.05,1.595,K5III,III,2
8.74,5.44,1.041,G8IV,V,4
10.98,12.88,1.013,K3V,V,4
6.78,6.42,0.311,F0IV,V,4
9.58,5.76,0.546,F7V,V,4
8.17,9.04,0.523,F7V,V,4
7.14,9.31,0.506,F6V,V,4
8.38,12.68,0.536,F7V,V,4
6.57,5.22,0.056,A0V,V,4
8.41,10.14,0.819,G8V,V,4
9.31,11.58,0.667,G3V,V,4
9.34,9.51,0.526,G0V,V,4
5.16,20.42,0.442,F5III,III,2
9.15,2.75,0.363,F0III,III,2
7.23,4.91,0.01,A1V,V,4
9.14,5.36,0.508,F7V,V,4
5.96,4.68,1.397,K3III,III,2
7.26,3.07,1.249,K2III,III,2
5.18,10.5,1.006,K0III,III,2
8.1,4.79,0.747,G5V,V,4
8.56,10.65,0.532,F7V,V,4
7.36,7.25,0.006,A0V,V,4
8.64,8.57,0.476,F5V,V,4
9.71,19.82,1.036,K3V,V,4
9.09,1.78,1.223,K2III,III,2
8.44,7.04,0.533,F7V,V,4
8.99,8.91,0.495,F5V,V,4
7.4,13.41,0.631,G1V,V,4
8.52,3.71,1.175,K0III,III,2
8.93,16.39,0.677,G5V,V,4
8.38,5.52,0.318,A9III,III,2
9.59,8.53,0.515,F6V,V,4
7.82,3.14,1.179,K2III,III,2
8.78,10.08,0.447,F2V,V,4
8.42,7.13,0.425,F2V,V,4
8.88,6.88,0.455,F5V,V,4
8.88,6.17,0.605,F8V,V,4
8.05,3.38,0.431,F3II,II,1
7.84,2.8,1.452,K5III,III,2
7.57,2.59,1.322,K2III,III,2
6.68,11.29,1.102,K2III,III,2
8.3,44.57,0.888,K1V,V,4
6.25,5.98,1.225,K3III,III,2
9.4,6.47,0.666,G2V,V,4
9.1,8.39,0.471,F5V,V,4
7.3,7.4,0.035,A0V,V,4
8.59,22.53,0.769,G8V,V,4
9.52,9.93,0.727,G6V,V,4
8.59,1.54,1.222,K2III,III,2
8.2,2.34,1.499,K4III,III,2
6.75,13.13,0.371,F2IV,V,4
9.37,8.54,0.496,F5V,V,4
9.22,2.55,0.993,G8IV,V,4
6.39,49.05,0.659,G3V,V,4
7.03,2.26,1.588,M0III,III,2
8.17,2.24,0.06,B0IV,V,4
9.61,3.62,0.563,F7V,V,4
6.43,3.23,1.595,M0III,III,2
8.75,1.62,0.756,G8IV,V,4
7.63,3.56,1.463,K4III,III,2
6.55,5.13,-0.06,B9IV,V,4
8.35,6.55,0.478,F3V,V,4
7.99,5.68,0.475,F5V,V,4
7.82,2.0,1.376,K7V,V,4
6.81,4.23,1.56,M2III,III,2
7.11,5.1,0.993,K0III,III,2
7.61,3.86,1.001,K0III,III,2
9.19,3.89,0.453,F3V,V,4
8.47,5.7,1.176,K2III,III,2
8.08,1.63,1.438,K5III,III,2
7.59,10.02,0.85,G8IV,V,4
7.61,3.08,0.975,G9III,III,2
7.7,1.75,1.636,M2III,III,2
9.85,2.67,0.513,F6V,V,4
9.02,5.98,0.555,F7V,V,4
8.72,19.26,0.73,G6V,V,4
9.32,7.11,0.41,F2V,V,4
7.42,15.9,0.51,F6V,V,4
8.3,0.1,-0.111,B8II,II,1
9.15,5.29,0.402,F3V,V,4
9.06,11.76,0.586,G2V,V,4
9.27,3.72,1.336,K2III,III,2
9.99,5.58,0.701,G5V,V,4
7.59,9.46,0.407,F2V,V,4
9.49,1.08,0.209,A3III,III,2
8.3,14.6,0.619,G0V,V,4
5.58,2.38,-0.11,B5IV,V,4
8.12,6.35,0.136,A1V,V,4
9.56,20.81,0.904,K2V,V,4
7.92,55.53,0.94,K2V,V,4
8.81,14.84,0.708,G3IV,V,4
6.08,6.03,1.216,K1III,III,2
9.26,4.79,0.604,G0V,V,4
9.32,7.66,0.546,F7V,V,4
9.13,8.85,0.606,G0V,V,4
9.63,7.15,0.594,F7V,V,4
6.81,28.91,0.596,G3IV,V,4
9.43,7.79,0.293,F0IV,V,4
5.38,4.27,0.008,B9III,III,2
8.46,7.55,0.438,F3V,V,4
6.9,2.96,1.426,K3III,III,2
8.08,5.31,0.43,F3V,V,4
8.82,6.44,0.374,F0V,V,4
7.63,10.47,0.843,G8V,V,4
8.14,8.12,0.433,F3V,V,4
7.57,20.45,0.616,G2V,V,4
8.68,12.98,0.564,G0V,V,4
5.72,6.17,-0.056,B9IV,V,4
8.6,6.59,0.548,F6V,V,4
8.79,9.83,0.611,G1V,V,4
7.06,4.91,1.427,K3III,III,2
5.77,5.5,0.855,G5III,III,2
8.77,2.98,1.08,G8III,III,2
8.85,10.52,0.52,F7V,V,4
7.55,2.03,1.227,K2III,III,2
8.89,8.17,0.647,G3V,V,4
7.7,9.52,0.559,F5V,V,4
7.93,1.96,0.95,G8III,III,2
7.58,5.31,1.037,K0III,III,2
2.82,133.78,0.618,G2IV,V,4
9.46,7.59,0.5,F5V,V,4
6.88,6.89,1.293,K2III,III,2
9.35,3.19,0.36,F0V,V,4
7.52,4.12,0.99,G8III,III,2
8.9,10.19,0.675,G5V,V,4
9.47,5.75,0.491,F5V,V,4
9.68,9.53,0.502,F6V,V,4
8.64,1.5,1.606,K5III,III,2
6.71,4.45,0.879,G5III,III,2
3.93,42.51,0.175,A7V,V,4
6.24,4.3,1.622,M1III,III,2
7.6,3.08,0.976,K0IV,V,4
9.6,-1.65,0.197,B1IV,V,4
9.08,8.85,0.526,F7V,V,4
8.27,3.84,1.087,K0III,III,2
10.08,4.62,0.407,F2V,V,4
8.58,11.7,0.463,F3V,V,4
6.16,6.71,0.893,G8III,III,2
6.58,3.84,0.021,B9V,V,4
6.98,4.97,1.378,K4III,III,2
8.1,11.96,0.501,F6V,V,4
8.89,1.51,1.001,K0III,III,2
9.11,7.33,0.461,F5V,V,4
8.93,4.76,0.31,A9V,V,4
10.22,4.3,0.05,A1V,V,4
6.66,12.51,0.487,F7IV,V,4
9.5,18.1,0.931,K1V,V,4
7.57,3.09,1.302,K5III,III,2
8.49,4.76,1.132,K1IV,V,4
7.49,4.88,1.19,K3III,III,2
8.68,9.94,0.528,F6V,V,4
5.99,4.86,1.022,K0III,III,2
10.14,5.49,0.52,F5V,V,4
9.05,2.36,0.342,F2III,III,2
9.52,3.67,0.44,F3V,V,4
7.18,4.53,0.894,G4III,III,2
9.39,7.34,0.53,F6V,V,4
9.02,2.36,0.947,K0III,III,2
7.73,13.47,0.401,F2V,V,4
8.28,2.63,0.912,G6III,III,2
8.99,4.65,0.402,A9V,V,4
6.78,8.63,0.261,A9V,V,4
8.7,6.14,0.362,A9V,V,4
9.92,0.33,0.632,F7V,V,4
7.47,2.03,0.043,B3V,V,4
8.0,1.84,1.034,K0III,III,2
9.02,21.72,0.745,G6V,V,4
8.64,-0.2,1.219,K2III,III,2
8.46,10.58,1.2,F8V,V,4
9.27,4.09,1.14,K2III,III,2
9.88,6.97,0.512,F6V,V,4
7.35,8.87,1.205,M5III,III,2
9.12,3.97,0.535,F7V,V,4
7.67,3.52,0.983,K0III,III,2
